Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
The Hott Spot,61.2104955,-149.7626081,"6311 DeBarr Rd F, Anchorage, AK 99504, United States",ChIJRwKXL_aXyFYRUMDLC_fK4WQ,/biz/the-hott-spot-anchorage-2?osq=Restaurants,0.239019137577396,4.4,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Meraki Hellenic Grill,61.2213762,-149.7792466,"360 Boniface Pkwy, Anchorage, AK 99504, United States",ChIJk90N6YnryFYR0jcracPcOZg,/biz/meraki-hellenic-grill-anchorage-3?osq=Restaurants,0.185946626282898,4.7,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Middle Way Cafe,61.194649,-149.907902,"1200 W Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJH666iNuXyFYRNH0w9oXIJQ8,/biz/middle-way-cafe-anchorage?osq=Restaurants,0.166166191195201,3.8,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,1
El Senor Moose,64.825399,-147.6362249,"3703 Neely Rd, Fort Wainwright, AK 99703, United States",ChIJlVsbE45PMlERih-F5qxtzTc,/biz/el-senor-moose-eagle-river?osq=Restaurants,0.132726201245215,4.3,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Texas Roadhouse,61.22955,-149.7409001,"1154 N Muldoon Rd, Anchorage, AK 99504, United States",ChIJY95WvSeUyFYR9-HamI4_-UQ,/biz/texas-roadhouse-anchorage-8?osq=Restaurants,0.123439799761313,3.5,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
MVP Sports Deli & Eatery,61.1806016,-149.8285731,"2808 E Tudor Rd, Anchorage, AK 99507, United States",ChIJSV6taUeXyFYRi2dPlg71wkg,/biz/mvp-sports-deli-and-eatery-anchorage?osq=Restaurants,0.12976028884604,4.5,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Manila Bake Bakery & Cafe,61.1928368,-149.9154297,"3020 Minnesota Dr #8C, Anchorage, AK 99503, United States",ChIJ8670ht6XyFYRcwLE0hignp4,/biz/manila-bake-bakery-and-cafe-anchorage?osq=Restaurants,0.0867848128372533,4.7,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,1
Los Arcos,61.1661773,-149.8453373,"2000 E Dowling Rd, Anchorage, AK 99507, United States",ChIJT8ImqXaXyFYRLWdq7ti3B0A,/biz/los-arcos-anchorage?osq=Restaurants,0.063692395926738,3.8,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Nilda's Party Creations,61.1813822,-149.8694207,"4240 Old Seward Hwy #21, Anchorage, AK 99503, United States",ChIJt7TnWbyXyFYRf6B4_k402QQ,/biz/nildas-party-creations-midtown?osq=Restaurants,0.080499630053314,4.5,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Fromagio's Artisan Cheese,61.1887179,-149.8976303,"3555 Arctic Blvd c4, Anchorage, AK 99503, United States",ChIJL5xVnJWZyFYRZm-bBqh6MJs,/biz/fromagios-artisan-cheese-anchorage?osq=Restaurants,0.0213668624134401,4.1,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Bread and Brew Alaska,61.180326,-149.8535783,"1450 E Tudor Rd STE 100, Anchorage, AK 99507, United States",ChIJv_WokqOXyFYR2JBEcmv78To,/biz/bread-and-brew-alaska-anchorage?osq=Restaurants,0.19262954365029,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Smashed,61.1279875,-149.8850755,"317 W 104th Ave, Anchorage, AK 99515, United States",ChIJ91kVe7eZyFYR40E_97OLTwE,/biz/smashed-anchorage?osq=Restaurants,0.190938774912792,4.2,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Namaste Shangri-La,61.1802475,-149.8357509,"2446 E Tudor Rd, Anchorage, AK 99507, United States",ChIJzU1jJgiXyFYRzpfqkRoyNMo,/biz/namaste-shangri-la-anchorage?osq=Restaurants,0.146555210740995,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Matanuska Brewing - Midtown Anchorage,61.1947489,-149.8884943,"2830 C St, Anchorage, AK 99503, United States",ChIJlyYOyNSXyFYRUWf8xf_V2Wg,/biz/matanuska-brewing-midtown-anchorage-anchorage?osq=Restaurants,0.147173517241239,3.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Taste of India,61.1746935,-149.8971209,"5011 Arctic Blvd I, Anchorage, AK 99503, United States",ChIJjVxi_OKXyFYRfROqcoUrb18,/biz/taste-of-india-anchorage?osq=Restaurants,0.150873228744997,4.6,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Alaska Crepery,61.2177557,-149.8881686,"319 W 5th Ave, Anchorage, AK 99501, United States",ChIJC6dwVAyXyFYR0ZZMmzzULww,/biz/alaska-crepery-anchorage-2?osq=Restaurants,0.16175441753104,4.5,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Wonjo Korean Cuisine,61.1987476,-149.8912635,"515 W Fireweed Ln, Anchorage, AK 99503, United States",ChIJQX-U3s-XyFYRBo1-sdhshTA,/biz/wonjo-korean-cuisine-anchorage-3?osq=Restaurants,0.138304958576463,4.5,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Naruto Japanese Restaurant,61.1878116,-149.913815,"3600 Minnesota Dr, Anchorage, AK 99503, United States",ChIJM8K4dOeXyFYR9tuYTA2tBUA,/biz/naruto-japanese-restaurant-anchorage?osq=Restaurants,0.13812173070991,4.2,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Jerry's,61.145083,-149.8649015,"919 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJzZvPLNeZyFYREks9CsF4p2w,/biz/jerrys-anchorage?osq=Restaurants,0.147316284953693,4.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Lahn Pad Thai,61.138298,-149.843428,"2101 Abbott Rd #7, Anchorage, AK 99507, United States",ChIJAbZO2d2ZyFYRhdcoNtCeVjg,/biz/lahn-pad-thai-anchorage?osq=Restaurants,0.118583413694322,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Sullivan's Steakhouse,61.21737,-149.8878299,"320 W 5th Ave, Anchorage, AK 99501, United States",ChIJH0jnvSmWyFYRdQxPRZNOK8s,/biz/sullivans-steakhouse-anchorage-2?osq=Restaurants,0.12551892143929,3.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Applebee's Grill + Bar,61.1813359,-149.8881341,"4331 Credit Union Dr, Anchorage, AK 99503, United States",ChIJB4MSNpWXyFYRclXkdYBBXko,/biz/applebees-grill-bar-anchorage?osq=Restaurants,0.117380430620244,2.2,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Top Bop - South,61.1378187,-149.862843,"9191 Old Seward Hwy STE 18, Anchorage, AK 99515, United States",ChIJ6RozecGZyFYR5yTMX5eoQXM,/biz/top-bop-south-anchorage-6?osq=Restaurants,0.0603536211351603,3.8,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
The Office Cafe,61.1872725,-149.885014,"3601 C St, Anchorage, AK 99503, United States",ChIJA1fMxcCXyFYR-COAKN-BTbg,/biz/the-office-cafe-anchorage?osq=Restaurants,0.124797513336071,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Sandwich Deck,61.2183852,-149.9018294,"400 K St, Anchorage, AK 99501, United States",ChIJ6VAwT4G9yFYRrQ_T_scfZLA,/biz/sandwich-deck-anchorage-2?osq=Restaurants,0.120923929029047,3.8,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Bombay South Indian Cuisine,61.1081426,-149.8623281,"1120 Huffman Rd #5, Anchorage, AK 99515, United States",ChIJz_rLT0WZyFYRaFaU3_t1apo,/biz/bombay-south-indian-cuisine-anchorage?osq=Restaurants,0.0426187014530073,3.9,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Horizon's Cafe,61.2148174,-149.8963888,"701 W 8th Ave, Anchorage, AK 99501, United States",ChIJyzaeg4C9yFYRtzSj5SJeR5w,/biz/horizons-cafe-anchorage?osq=Restaurants,0.0220265359430892,3.7,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
Cafecito Bonito,61.2100641,-149.7631398,"6307 DeBarr Rd A, Anchorage, AK 99504, United States",ChIJ5SNNaRSXyFYRmyLOzn6YZnQ,/biz/cafecito-bonito-anchorage?osq=Restaurants,0.064977682404333,3.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Raising Cane's Chicken Fingers,61.229949,-149.741059,"1172 N Muldoon Rd J, Anchorage, AK 99504, United States",ChIJzxketmeVyFYRCyABUMBoi08,/biz/raising-canes-chicken-fingers-anchorage-2?osq=Restaurants,0.0337682046406197,3.5,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Thai Kitchen,61.1816621,-149.8162067,"3421 E Tudor Rd #A, Anchorage, AK 99507, United States",ChIJ1SlSpAWXyFYRzNU9f-q9qTU,/biz/thai-kitchen-anchorage?osq=Restaurants,0.025612924244963,3.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Benihana,61.2145063,-149.9041695,"1100 W 8th Ave, Anchorage, AK 99501, United States",ChIJqZRXtoG9yFYRZVZgi8zHwgc,/biz/benihana-anchorage?osq=Restaurants,0.0127639444969497,3.9,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
61Sliders,61.14914,-149.87809,"7920 King St, Anchorage, AK 99518",-,/biz/61sliders-anchorage?osq=Restaurants,0.124477856308066,3.6,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
West Berlin,61.2243227,-149.8029845,"4133 Mountain View Dr, Anchorage, AK 99508, United States",ChIJTScliG-WyFYR6htENC7i8kI,/biz/west-berlin-anchorage?osq=Restaurants,0.159073885305492,4.2,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Hula Hands Restaurant,61.1988864,-149.8906113,"501 W Fireweed Ln, Anchorage, AK 99503, United States",ChIJCYb22M-XyFYRrYq_a14XCcw,/biz/hula-hands-restaurant-anchorage-2?osq=Restaurants,0.131463488348801,4.1,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Waffles and Whatnot,61.218058,-149.7341934,"500 Muldoon Rd #5, Anchorage, AK 99504, United States",ChIJawFM3gSXyFYR9yyQGlitmxQ,/biz/waffles-and-whatnot-anchorage-5?osq=Restaurants,0.144841947392973,4.2,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
907 Wingman,61.1884155,-149.9079825,"3505 Spenard Rd, Anchorage, AK 99503, United States",ChIJ4-dvWd2XyFYR-dL2s0DiD_0,/biz/907-wingman-anchorage?osq=Restaurants,0.109058451156667,4.1,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,1
Long Branch Saloon,61.1451017,-149.8493037,"1737 E Dimond Blvd, Anchorage, AK 99507, United States",ChIJz9sF59iZyFYRVfNRaIMlr60,/biz/long-branch-saloon-anchorage?osq=Restaurants,0.119554639093409,3.8,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Yogo Delight,61.1841596,-149.8675765,"4007 Old Seward Hwy # 200, Anchorage, AK 99503, United States",ChIJT0w0d7yXyFYRcCATvyPkT6Y,/biz/yogo-delight-anchorage?osq=Restaurants,0.0997998732106367,4.4,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Ollin Tea & Cafe,61.1438325,-149.87608,"300 E Dimond Blvd #15, Anchorage, AK 99515, United States",ChIJQ3-XMQiXyFYRGgKdXxQK4sc,/biz/ollin-tea-and-cafe-anchorage?osq=Restaurants,0.0253600453902524,4.0,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Flight Deck Pizzeria,61.1732292,-149.8992155,"832 W International Airport Rd, Anchorage, AK 99518, United States",ChIJ3QxurJKXyFYRRaYTcHCsGuc,/biz/flight-deck-pizzeria-anchorage-5?osq=Restaurants,0.0653505691077897,4.0,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,1
Turkish Delight,61.19512,-149.83975,"2210 E Northern Lights Blvd, Ste 110, Anchorage, AK 99508",-,/biz/turkish-delight-anchorage?osq=Restaurants,0.214489654003144,4.6,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Seoul Casa,61.14568,-149.8692499,"601 E Dimond Blvd #6th, Anchorage, AK 99515, United States",ChIJJcOb6X6ZyFYRwx07-x1oDas,/biz/seoul-casa-anchorage?osq=Restaurants,0.188405725745764,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Yakishabu Sushi House,61.1440312,-149.8927687,"720 W Dimond Blvd, Anchorage, AK 99515, United States",ChIJMdQzoAOZyFYR1rEIFO_2Wyo,/biz/yakishabu-sushi-house-anchorage-4?osq=Restaurants,0.184925263035564,3.9,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
South Restaurant + Coffeehouse,61.1199527,-149.8678209,"11124 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJQ9HO7JWZyFYRgaZzV-u0ARM,/biz/south-restaurant-coffeehouse-anchorage?osq=Restaurants,0.174191378311839,3.9,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Southside Grill,61.1038368,-149.8582864,"12870 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJiWQnZYOZyFYRIQzrRurQ_YU,/biz/southside-grill-anchorage?osq=Restaurants,0.17712430669059,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Familia,61.1385403,-149.8816419,"148 W 91st Ave, Anchorage, AK 99515, United States",ChIJhxSsky6ZyFYRJ_tYPEuc250,/biz/familia-anchorage-2?osq=Restaurants,0.174170766721546,4.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Little Dipper Diner,61.1391415,-149.9156102,"1921 W Dimond Blvd #106, Anchorage, AK 99515, United States",ChIJSWIcxTeYyFYR5wlLWc3W5Y4,/biz/little-dipper-diner-anchorage?osq=Restaurants,0.180804481201012,4.3,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Eat'alia,61.1390792,-149.9157289,"1921 W Dimond Blvd #112, Anchorage, AK 99515, United States",ChIJC-MSizyZyFYREMQm3vygnJQ,/biz/eatalia-anchorage?osq=Restaurants,0.163278378228246,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Mandala Restaurant Anchorage,61.1452506,-149.8777072,"209 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJo5LMTx-ZyFYR8nFdc445OLw,/biz/mandala-restaurant-anchorage-anchorage-2?osq=Restaurants,0.162044137430868,4.6,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Josie's Bakery,61.1672464,-149.8364348,"5915 Lake Otis Pkwy #5, Anchorage, AK 99507, United States",ChIJ461nGqSXyFYRNlNzE7wlkMo,/biz/josie-s-bakery-anchorage?osq=Restaurants,0.148152290544219,5.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Bear Tooth Grill,61.1960835,-149.9070257,"1230 W 27th Ave, Anchorage, AK 99503, United States",ChIJM_p-3NuXyFYRo0t0DbH0yow,/biz/bear-tooth-grill-anchorage-2?osq=Restaurants,0.152307095530541,4.1,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
EL Pastor,61.3318263,-149.5684545,"12300 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJe1SlBe7ryFYRwyPA7yFyNRk,/biz/el-pastor-eagle-river?osq=Restaurants,0.145687600046913,4.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Momma O's Seafood,61.1966667,-149.9058334,"2636 Spenard Rd, Anchorage, AK 99503, United States",ChIJ6eQbztuXyFYRy--BFwXLaME,/biz/momma-os-seafood-anchorage?osq=Restaurants,0.136574127526558,3.8,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Kriner's Diner,61.1991861,-149.8868067,"2409 C St, Anchorage, AK 99503, United States",ChIJi7vxS86XyFYRDY_lYuVnTy4,/biz/kriners-diner-anchorage?osq=Restaurants,0.136832599911319,3.9,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Midnight Sun Cafe,61.21768,-149.8869764,"245 W 5th Ave STE 106, Anchorage, AK 99501, United States",ChIJb6tTqSmWyFYR0ysKCl4Gu4k,/biz/midnight-sun-cafe-anchorage?osq=Restaurants,0.13743024416581,4.2,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Thai Orchid,61.1672431,-149.8376657,"5905 Lake Otis Pkwy A, Anchorage, AK 99507, United States",ChIJEeVnwNKZyFYR7NuQG_qjjmk,/biz/thai-orchid-anchorage-2?osq=Restaurants,0.131183083452581,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Pho' Vietnam #8,61.1976545,-149.8720515,"602 E Fireweed Ln, Anchorage, AK 99503, United States",ChIJU6xLm8mXyFYRl1Tdgl1IjBw,/biz/pho-vietnam-8-anchorage?osq=Restaurants,0.122270160512238,4.2,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Alaska's Gourmet Subs,61.2157243,-149.8939197,"601 W 7th Ave, Anchorage, AK 99501, United States",ChIJf43CCCqWyFYRGWbaqsmqMmc,/biz/alaskas-gourmet-subs-anchorage?osq=Restaurants,0.127584380199194,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Melt,61.2178566,-149.8633984,"1033 E 5th Ave, Anchorage, AK 99501, United States",ChIJt1coxDqWyFYRVPQSajGsBr0,/biz/melt-anchorage?osq=Restaurants,0.127719796109488,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Silk,61.1930586,-149.8749186,"500 E Benson Blvd Suite 114, Anchorage, AK 99503, United States",ChIJXdmxDsiXyFYRlm04VUjC4KA,/biz/silk-anchorage-3?osq=Restaurants,0.109700941580807,3.7,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Kobe Teppayaki House,61.2145063,-149.9041695,"1100 W 8th Ave, Anchorage, AK 99501, United States",ChIJqZRXtoG9yFYRZVZgi8zHwgc,/biz/kobe-teppayaki-house-anchorage?osq=Restaurants,0.118956452898483,2.8,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Luigi's Pizza,61.1747907,-149.8970974,"5011 Arctic Blvd H, Anchorage, AK 99503, United States",ChIJRx6405KXyFYRakFJzWnU-9w,/biz/luigis-pizza-anchorage?osq=Restaurants,0.075139805995448,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Vip Restaurant,61.195766,-149.8936438,"555 W Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJ4VbdN8WXyFYRaoyhuffGU50,/biz/vip-restaurant-anchorage?osq=Restaurants,0.0600845783465137,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Top Bop - Muldoon,61.2218343,-149.7351549,"220 Muldoon Rd, Anchorage, AK 99504, United States",ChIJn2ruOp6WyFYRzccnd8-jcDA,/biz/top-bop-muldoon-anchorage-6?osq=Restaurants,0.122316724072138,3.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Xalos Mexican Grill,61.2201638,-149.818739,"3048 Mountain View Dr #140, Anchorage, AK 99501, United States",ChIJS6p1l2mWyFYR4RS11-VzsBw,/biz/xalos-mexican-grill-anchorage?osq=Restaurants,0.077141528471224,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Lalo's Pizza Take Out,61.1672331,-149.8363495,"5915 Lake Otis Pkwy # 6, Anchorage, AK 99507, United States",ChIJ4b1VBnOXyFYRhF6GC-m-34U,/biz/lalos-pizza-take-out-anchorage?osq=Restaurants,0.116660603598376,4.6,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Kriner's Burgers & Pies,61.220445,-149.8183209,"3074 Mountain View Dr #151, Anchorage, AK 99508, United States",ChIJX4jHn2mWyFYRwLWB2MY7G7M,/biz/kriners-burgers-and-pies-anchorage?osq=Restaurants,0.0423984003229277,3.8,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Tiki Pete's Alaskan Dogs,61.1983419,-149.9049274,"2435 Spenard Rd, Anchorage, AK 99503, United States",ChIJ7x9tMiiWyFYRHJdIful0Hkg,/biz/tiki-petes-alaskan-dogs-anchorage-3?osq=Restaurants,0.11436002756853,4.7,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
Ronnie 2,61.2139402,-149.7341088,"924 Muldoon Rd, Anchorage, AK 99504, United States",ChIJxcDwQqKWyFYRIkTmj-QO59A,/biz/ronnie-2-anchorage?osq=Restaurants,0.042489069752138,3.9,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0
Benny's Food Wagon,61.1946393,-149.9023095,"913 Photo Ave, Anchorage, AK 99503, United States",ChIJYyojDduXyFYRvDsbhFEu1Dc,/biz/bennys-food-wagon-anchorage?osq=Restaurants,0.0211688521751508,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
House of Bread Bakery,61.1469987,-149.8647998,"8130 Old Seward Hwy #108, Anchorage, AK 99518, United States",ChIJ03XN-taZyFYRyJOsRoEipLw,/biz/house-of-bread-bakery-anchorage?osq=Restaurants,0.0808183875899377,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1
